PCode,idCategory,idMaterial,idColor,idWebsite,PName,PPrice,PMaterial,Color,PDescription,Brand,Paddress,PisAvailable
mte18308-green,1,1,1,1,Embroidered Top ,3200,Poplin,Green,Embroidered TopThe model is wearing size 8.Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mte18308-green.html,
mte18307-blue,1,1,1,1,Embroidered Top ,3900,Poplin,Blue,Embroidered TopThe model is wearing size 8.Model Height: 168cm/5 feet 6 inches.,Khaadi,https://www.khaadi.com/pk/mte18307-blue.html,
etdpe18303-mustard,1,1,1,1,Digital Printed Kurta ,3200,Lawn,Mustard,Digital PrintedThe model is wearing size 8.Model Height: 168cm/5 feet 6 inches.,Khaadi,https://www.khaadi.com/pk/etdpe18303-mustard.html,
etpe18303-blue,1,1,1,1,Embroidered Kurta ,2900,Lawn,Blue,Embroidered KurtaModel is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/etpe18303-blue.html,
mtdps18301-black,1,1,1,1,Digital Printed Satin Top ,3200,Satin,Black,Digital Printed Satin TopModel is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mtdps18301-black.html,
etdpe18311-green,1,1,1,1,Digital Printed Kurta ,3200,Cambric,Green,Digital Printed KurtaThe model is wearing size 8.Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/etdpe18311-green.html,
etpe18302-red,1,1,1,1,Embroidered Kurta ,2900,Lawn,Red,Embroidered kurtaThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/etpe18302-red.html,
etpe18301-blue,1,1,1,1,Embroidered Kurta ,3000,Lawn,Blue,Embroidered kurtaThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/etpe18301-blue.html,
etsp18303-grey,1,1,1,1,Satin Printed Kurta ,3500,Satin,Grey,Satin Printed KurtaThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/etsp18303-grey.html,
etdp18314-beige,1,1,1,1,Digital Printed Kurta ,2400,Lawn,Beige,Digital Printed KurtaThe model is wearing size 8.Model Height: 168cm/5 feet 6 inches.,Khaadi,https://www.khaadi.com/pk/etdp18314-beige.html,
mtdps18303-maroon,1,1,1,1,Cross-Over Satin Top  ,3200,Satin,Maroon,Cross-Over Satin Top The model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mtdps18303-maroon.html,
mtdps18302-black,1,1,1,1,Digital Printed Satin Top ,3200,Satin,Black,Digital Printed TopThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mtdps18302-black.html,
mtdps18301-golden,1,1,1,1,Digital Printed Satin Top ,3200,Satin,Golden,Digital Printed Satin TopThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mtdps18301-golden.html,
mtdpe18303-green,1,1,1,1,Embroidered Top ,2600,Lawn,Green,Embroidered TopThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mtdpe18303-green.html,
mtdpe18303-brown,1,1,1,1,Embroidered Top ,2600,Lawn,Brown,Embroidered TopThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mtdpe18303-brown.html,
mtdpe18302-blue,1,1,1,1,Embroidered Top ,2800,Lawn,Blue,Embroidered TopThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mtdpe18302-blue.html,
mtdpe18302-black,1,1,1,1,Embroidered Top ,2800,Lawn,Black,Embroidered TopThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mtdpe18302-black.html,
mtdpe18301-blue,1,1,1,1,Embroidered Top ,2600,Lawn,Blue,Embroidered TopThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mtdpe18301-blue.html,
mtdpe18301-grey,1,1,1,1,Embroidered Top ,2600,Lawn,Grey,Embroidered TopThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mtdpe18301-grey.html,
mtdp18303-grey,1,1,1,1,Digital Printed Top ,2400,Lawn,Grey,Digital Printed TopThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mtdp18303-grey.html,
mtdp18303-blue,1,1,1,1,Digital Printed Top ,2400,Lawn,Blue,Digital Printed TopThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mtdp18303-blue.html,
mtdp18301a-red,1,1,1,1,Digital Printed Top ,2500,Lawn,Red,Digital Printed TopThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mtdp18301a-red.html,
mtdp18301a-black,1,1,1,1,Digital Printed Top ,2500,Lawn,Black,Digital Printed TopThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mtdp18301a-black.html,
mtdp18301-blue,1,1,1,1,Digital Printed Top ,2400,Lawn,Blue,Digital Printed TopThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mtdp18301-blue.html,
etsp18303-blue,1,1,1,1,Satin Printed Kurta ,3500,Satin,Blue,Satin Printed KurtaThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/etsp18303-blue.html,
etpe18303-pink,1,1,1,1,Embroidered Kurta ,2900,Lawn,Pink,Embroidered KurtaThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/etpe18303-pink.html,
etpe18302-black,1,1,1,1,Embroidered Kurta ,2900,Lawn,Black,Embroidered KurtaThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/etpe18302-black.html,
etpe18301-beige,1,1,1,1,Embroidered Kurta ,3000,Lawn,Beige,Embroidered KurtaThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/etpe18301-beige.html,
etp18301a-grey,1,1,1,1,Printed Lawn Top ,2200,Lawn,Grey,Printed Lawn TopThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/etp18301a-grey.html,
etp18301a-blue,1,1,1,1,Printed Lawn Top ,2200,Lawn,Blue,Printed Lawn TopThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/etp18301a-blue.html,
etdpe18305-yellow,1,1,1,1,Embroidered Kurta ,3400,Lawn,Yellow,Embroidered KurtaThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/etdpe18305-yellow.html,
etspe18201-purple,1,1,1,1,Printed Satin Angarkha ,4900,Satin,Purple,"Embroidered Kurta

The model is wearing size 8
Model Height: 168cm/5 feet 6 inches",Khaadi,https://www.khaadi.com/pk/etspe18201-purple.html,
etdpe18312-beige,1,1,1,1,Printed Embroidered Kurta ,3200,Lawn,Beige,Embroidery on the Cuff,Khaadi,https://www.khaadi.com/pk/etdpe18312-beige.html,
ete18241-black,1,1,1,1,Embroidered Kurta ,3900,Cotton,Black,Embroidered Kurta  The model is wearing size 8 Model Height: 168cm/5 feet 6 inches.,Khaadi,https://www.khaadi.com/pk/ete18241-black.html,
mtdp18301-black,1,1,1,1,Digital Printed Top ,2400,Lawn,Black,Digital Printed TopThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mtdp18301-black.html,
etdpe18310-green,1,1,1,1,Digital Printed Kurta ,3200,Lawn,Green,Digital Printed KurtaThe model is wearing size 8Model Height: 168cm/5 feet 6 inches.,Khaadi,https://www.khaadi.com/pk/etdpe18310-green.html,
etdpe18302-blue,1,1,1,1,Embroidered Kurta ,3200,Lawn,Blue,Digital Printed KurtaThe model is wearing size 8Model Height: 168cm/5 feet 6 inches.,Khaadi,https://www.khaadi.com/pk/etdpe18302-blue.html,
etdpe18301-blue,1,1,1,1,Embroidered Kurta ,3200,Lawn,Blue,Digital Printed KurtaThe model is wearing size 8Model Height: 168cm/5 feet 6 inches.,Khaadi,https://www.khaadi.com/pk/etdpe18301-blue.html,
kddpe18305-green,1,1,1,1,Embroidered Kurta with Dupatta ,4900,Lawn,Green,Embroidered Kurta with DupattaThe model is wearing size 8Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/kddpe18305-green.html,
etspe18202-grey,1,1,1,1,Embroidered Kurta ,4900,Satin,Grey,"Embroidered Satin Kurta The model is wearing size 8
Model Height: 168cm/5 feet 6 inches",Khaadi,https://www.khaadi.com/pk/etspe18202-grey.html,
ete18202-white,1,1,1,1,Embroidered Flare Kurta ,4500,Jacquard,White,Panelled Jacquard Kurta The model is wearing size 8 Model Height: 168cm/5 feet 6 inches,Khaadi,https://www.khaadi.com/pk/ete18202-white.html,
mte18306-white,1,1,1,1,Embroidered Button-Down Shirt ,3500,Poplin,White,Embroidered KurtaThe model is wearing size 8.Model Height: 168cm/5 feet 6 inches.,Khaadi,https://www.khaadi.com/pk/mte18306-white.html,
mtb18215-white,1,1,1,1,White Button-Down Top ,2200,Lawn,White,"High-Low Hemline
 The model is wearing size 8Model Height: 168cm / 5 feet 6 inches",Khaadi,https://www.khaadi.com/pk/mtb18215-white.html,
kddpe18302-off-white,1,1,1,1,Embroidered Kurta with Dupatta ,4500,Lawn,Off-White,Embroidered Kurta With Dupatta,Khaadi,https://www.khaadi.com/pk/kddpe18302-off-white.html,
kdp18302-aqua,1,1,1,1,Printed Kurta with Dupatta  ,3800,Lawn,Aqua,Printed Kurta with DupattaThe model is wearing size 8.Model Height: 168cm/5 feet 6 inches.,Khaadi,https://www.khaadi.com/pk/kdp18302-aqua.html,
etdpe18202-brown,1,1,1,1,Printed Lawn Kurta ,3500,Lawn,Brown,Printed Lawn Kurta The model is wearing size 8 Model Height: 168cm/5 feet 6.,Khaadi,https://www.khaadi.com/pk/etdpe18202-brown.html,
mte18251-blue,1,1,1,1,Embroidered Tie-Up Top ,3600,Cambric,Blue,"High-Low hemline
Tie-up tassle on the side
 The model is wearing size 8 Model Height: 167cm/5 feet 5 inches",Khaadi,https://www.khaadi.com/pk/mte18251-blue.html,
mtpe18301-yellow,1,1,1,1,Drop Shoulder Kurta ,3000,Lawn,Yellow,Front-openThe model is wearing size 8.Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mtpe18301-yellow.html,
mtpe18301-blue,1,1,1,1,Drop Shoulder Kurta ,3000,Lawn,Blue,Front-openThe model is wearing size 8.Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mtpe18301-blue.html,
kddpe18301-blue,1,1,1,1,Embroidered Kurta with Dupatta ,4500,Lawn,Blue,Digital printed kurta with chiffon dupattaThe model is wearing size 8.Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/kddpe18301-blue.html,
etspe18201-grey,1,1,1,1,Printed Satin Angarkha ,4900,Satin,Grey,"Embroidered Kurta

The model is wearing size 8
Model Height: 168cm/5 feet 6 inches",Khaadi,https://www.khaadi.com/pk/etspe18201-grey.html,
etpe18205-blue,1,1,1,1,Embroidered Kali Kurta ,3900,Lawn,Blue,"Printed kali kurta, Embroidered borders on sleevs, Tie-up tassel The model is wearing size 8
Model Height: 167cm / 5 feet 5 inches.",Khaadi,https://www.khaadi.com/pk/etpe18205-blue.html,
mtspe18202-blue,1,1,1,1,Double Placket Button-Down ,3500,Satin,Blue,"Embelishment on the collar

 The model is wearing size 8
Model Height: 167cm / 5 feet 5 inches.",Khaadi,https://www.khaadi.com/pk/mtspe18202-blue.html,
mte18301-white,1,1,1,1,Embroidered Jacket ,3400,Cross Hatch Denim,White,Embroidered JacketThe model is wearing size 8.Model Height: 169cm/5 feet 7 inches.,Khaadi,https://www.khaadi.com/pk/mte18301-white.html,
mte18234-black,1,1,1,1,Embroidered Top ,2900,Lawn,Black,"High-Low hemline
Side pockets  The model is wearing size 8 Model Height: 167cm /5 feet 5 inches.",Khaadi,https://www.khaadi.com/pk/mte18234-black.html,
kdp18301-grey,1,1,1,1,Printed Kurta with Dupatta ,3800,Lawn,Grey,Printed Kurta with DupattaThe model is wearing size 8.Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/kdp18301-grey.html,
kdp18301-pink,1,1,1,1,Printed Kurta with Dupatta ,3800,Lawn,Pink,Printed Kurta with DupattaThe model is wearing size 8.Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/kdp18301-pink.html,
wtsp18104-black,1,1,1,1,Angarkha Satin Kurta ,3900,Satin,Black,"Tie-up string on the side The model is wearing size 8
Model Height: 167cm/5 feet 5 inches",Khaadi,https://www.khaadi.com/pk/wtsp18104-black.html,
wtsp18104-beige,1,1,1,1,Angarkha Satin Kurta ,3900,Satin,Beige,"Tie-up string on the side The model is wearing size 8
Model Height: 167cm/5 feet 5 inches",Khaadi,https://www.khaadi.com/pk/wtsp18104-beige.html,
wtsp18102-pink,1,1,1,1,Printed Satin Flare Top ,3900,Satin,Pink,Angrakha style kurta The model is wearing size 8 Model Height: 167cm/5 feet 5 inches,Khaadi,https://www.khaadi.com/pk/wtsp18102-pink.html,
mtpe18302-green,1,1,1,1,Embroidered Top ,2800,Lawn,Green,Embroidered Top,Khaadi,https://www.khaadi.com/pk/mtpe18302-green.html,
mtpe18302-beige,1,1,1,1,Embroidered Top ,2800,Lawn,Beige,Embroidered Top,Khaadi,https://www.khaadi.com/pk/mtpe18302-beige.html,
kdp18303-black,1,1,1,1,Printed Kurta with Dupatta  ,3800,Lawn,Black,Printed Kurta with DupattaThe model is wearing size 8.Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/kdp18303-black.html,
kdp18303-beige,1,1,1,1,Printed Kurta with Dupatta ,3800,Lawn,Beige,Tassel Finish,Khaadi,https://www.khaadi.com/pk/kdp18303-beige.html,
etpe18201-lilac,1,1,1,1,Embroidered Kurta ,3900,Lawn,Lilac,Printed lawn kurta with embroidered borders on sleeves and pearl finish The model is wearing size 8 Model Height: 169cm/5 feet 7.,Khaadi,https://www.khaadi.com/pk/etpe18201-lilac.html,
etdpe18203-brown,1,1,1,1,Digital Printed Kurta ,3500,Lawn,Brown,Digital printed Kurta The model is wearing size 8 Model Height: 167cm/5 feet 5.,Khaadi,https://www.khaadi.com/pk/etdpe18203-brown.html,
ete18247-aqua,1,1,1,1,Chikankari Kurta ,3900,Lawn,Aqua,Chikankari Kurta The model is wearing size 8 Model Height: 167cm/5 feet 5.,Khaadi,https://www.khaadi.com/pk/ete18247-aqua.html,
etpe18206-grey,1,1,1,1,Embroidered A-Line Kurta ,3900,Lawn,Grey,Embroidered A-Line Kurta The model is wearing size 8 Model Height: 169cm/5 feet 7 inches,Khaadi,https://www.khaadi.com/pk/etpe18206-grey.html,
etdpe18201-purple,1,1,1,1,Digital Printed Kurta ,3500,Lawn,Purple,"Digital Printed Kurta

 The model is wearing size 8
Model Height: 167cm / 5 feet 5 inches.",Khaadi,https://www.khaadi.com/pk/etdpe18201-purple.html,
wtsp18102-grey,1,1,1,1,Printed Satin Flare Top ,3900,Satin,Grey,Angrakha style kurta The model is wearing size 8 Model Height: 167cm/5 feet 5 inches,Khaadi,https://www.khaadi.com/pk/wtsp18102-grey.html,
mte18213-black,1,1,1,1,Striped Kurta ,3400,Yarn Dyed,Black,"Embroidered Top

 The model is wearing size 8
Model Height: 167cm / 5 feet 5 inches.",Khaadi,https://www.khaadi.com/pk/mte18213-black.html,
etdp18312-blue,1,1,1,1,Digital Printed Lawn Kurta ,2400,Lawn,Blue,Straight kurtaThe model is wearing size 8.Model Height: 168cm/5 feet 6 inches.,Khaadi,https://www.khaadi.com/pk/etdp18312-blue.html,
ete18240-yellow,1,1,1,1,Embroidered Lawn Anghraka ,3600,Lawn,Yellow,"Embroidered borders.
Tassel Tie-up.

 The model is wearing size 8
Model Height: 167cm / 5 feet 5 inches.",Khaadi,https://www.khaadi.com/pk/ete18240-yellow.html,
mte18252-mustard,1,1,1,1,Embroidered Front-Open Top ,3600,Cambric,Mustard,"Button-Down with placket in the front
Side pockets
Pleasted around the waist

 The model is wearing size 8
Model Height: 167cm / 5 feet 5 inches.",Khaadi,https://www.khaadi.com/pk/mte18252-mustard.html,
ete18206-black,1,1,1,1,Embroidered Jacquard Kurta ,4500,Jacquard,Black,"A-line kurta Buttons on the neck The model is wearing size 8
Model Height: 168cm/5 feet 6 inches",Khaadi,https://www.khaadi.com/pk/ete18206-black.html,
mtspe18202-red,1,1,1,1,Double Placket Button-Down ,3500,Satin,Purple,"Embelishment on the collar

 The model is wearing size 8
Model Height: 167cm / 5 feet 5 inches.",Khaadi,https://www.khaadi.com/pk/mtspe18202-red.html,
mte18235-blue,1,1,1,1,Embroidered Button-Down Top ,2900,Lawn,Blue,"Button-Down Top
Embroidery in the front

 The model is wearing size 8
Model Height: 167cm / 5 feet 5 inches.",Khaadi,https://www.khaadi.com/pk/mte18235-blue.html,
mte18225-blue,1,1,1,1,Embroidered Button-Down Top ,3500,Denim,Blue,"Denim top with side pockets & roll-up tab

 The model is wearing size 8
Model Height: 167cm / 5 feet 5 inches.",Khaadi,https://www.khaadi.com/pk/mte18225-blue.html,
mte18218-beige,1,1,1,1,Traditional Kurta with Motifs ,3400,Yarn Dyed,Beige,"Sherwani Collar
Golden Motfis all over
Buttons on Sleeves

 The model is wearing size 8
Model Height: 167cm / 5 feet 5 inches.",Khaadi,https://www.khaadi.com/pk/mte18218-beige.html,
mte18217-orange,1,1,1,1,Check Tunic ,3400,Yarn Dyed,Orange,Embroidered cuff on sleeves and button finishing The model is wearing size 8 Model Height: 167cm /5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mte18217-orange.html,
mte18216-pink,1,1,1,1,Embroidered Tunic ,3400,Yarn Dyed,Pink,Embroidered Tunic The model is wearing size 8 Model Height: 167cm / 5 feet 5 inches,Khaadi,https://www.khaadi.com/pk/mte18216-pink.html,
mte18215-white,1,1,1,1,High-Low Embroidered Kurta ,3400,Yarn Dyed,White,Blue Embroidered Motifs all over The model is wearing size 8 Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/mte18215-white.html,
etp18305-blue,1,1,1,1,Printed A-Line Kurta  ,2400,Lawn,Blue,"Check pattern kurta with floral borders, Side pocketsThe model is wearing size 8.Model Height: 167cm/5 feet 5 inches.",Khaadi,https://www.khaadi.com/pk/etp18305-blue.html,
etp18305-maroon,1,1,1,1,Printed A-Line Kurta  ,2400,Lawn,Maroon,"Check pattern kurta with floral borders, Side pockets The model is wearing size 8.Model Height: 168cm/5 feet 6 inches.",Khaadi,https://www.khaadi.com/pk/etp18305-maroon.html,
etp18304-orange,1,1,1,1,Printed Top ,2400,Lawn,Orange,Button-Down kurta with slit on the sleevesThe model is wearing size 8.Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/etp18304-orange.html,
etdpe18204-beige,1,1,1,1,Digital Printed A-Line Kurta ,3500,Lawn,Beige,A-Line short lenght kurta The model is wearing size 8 Model Height: 168cm/5 feet 6 inches,Khaadi,https://www.khaadi.com/pk/etdpe18204-beige.html,
etdp18316-black,1,1,1,1,Digitial Printed Lawn Kurta ,2400,Lawn,Black,Digital Printed The model is wearing size 8.Model Height: 168cm/5 feet 6 inches.,Khaadi,https://www.khaadi.com/pk/etdp18316-black.html,
etdp18311-black,1,1,1,1,Printed Lawn Kurta ,2500,Lawn,Black,Pockets on the sideThe model is wearing size 8.Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/etdp18311-black.html,
wtsp17305-green,1,1,1,1,Printed Satin Kurta ,3900,Satin,Green,High-Low Hemline.Full SleevesThe model is wearing size 8.Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/wtsp17305-green.html,
etp18302-blue,1,1,1,1,Printed Lawn Kurta  ,2400,Lawn,Blue,Printed Lawn A-Line KurtaThe model is wearing size 8.Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/etp18302-blue.html,
etdp18309-purple,1,1,1,1,Digital Printed Lawn Kurta  ,2500,Lawn,Purple,"Pearl buttons on the sleeves
",Khaadi,https://www.khaadi.com/pk/etdp18309-purple.html,
ete18309-orange,1,1,1,1,Embroidered Tunic  ,4000,Brosha,Orange,Embroidered front with tassel detailingThe model is wearing size 8.Model Height: 167cm/5 feet 5 inches.,Khaadi,https://www.khaadi.com/pk/ete18309-orange.html,
ete18201-blue,1,1,1,1,Embroidered Flare Kurta ,4500,Jacquard,Blue,"Embroidered Top

 The model is wearing size 8
Model Height: 167cm / 5 feet 5 inches.",Khaadi,https://www.khaadi.com/pk/ete18201-blue.html,
